dataset,model_type,example_index,target_class,true_label,original_confidence,threshold,method,threshold_satisfied,final_confidence,subset_size,individual_model_evaluations,batched_function_calls,wall_clock_runtime_sec,evaluation_reduction_vs_baseline_pct,runtime_reduction_vs_baseline_pct,notes,stability_mask_iou,stability_mask_f1,stability_subset_size_difference,stability_confidence_retention,stability_explanation_drift
digits,mlp,187,4,4,0.9999985023608338,0.8,original_sis,True,0.9999982896087847,4,7945,255,0.04318289999999991,0.0,0.0,,0.625,0.7,1.5,0.9575036065659254,0.375
digits,mlp,187,4,4,0.9999985023608338,0.8,shap_guided_sis,True,0.9989051185807958,3,199,13,0.0035397000000000345,97.49528005034612,91.80300535628676,,0.5416666666666666,0.6785714285714286,1.5,0.958551469052985,0.45833333333333337
digits,mlp,187,4,4,0.9999985023608338,0.8,probabilistic_sis,True,0.9989051185807958,3,600,42,0.011435700000000049,92.44808055380743,73.51798975983533,,0.5416666666666666,0.6785714285714286,1.5,0.958551469052985,0.45833333333333337
digits,mlp,187,4,4,0.9999985023608338,0.8,hierarchical_sis,True,0.9639728125006769,2,40,23,0.003973499999999963,99.49653870358716,90.7984410495822,,0.6666666666666666,0.75,0.0,1.0163231593091102,0.33333333333333337
